"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P49674",-0.953305730475121,10.0472388592544,-5.40708606552706,2.62690691871621e-06,1.93328792605011e-05,4.55379131071552,"unchanged"
"Q9H061",0.95324638751651,8.50149646977012,6.65610832008206,4.01541130487171e-08,1.17376223112502e-06,8.58480706625734,"unchanged"
"Q8N157",-0.953092155216779,7.8580212868738,-5.85132394222205,5.96736491939207e-07,6.23170557428471e-06,5.98103718472476,"unchanged"
"P30626",0.952972405158393,11.244557246084,5.41437074962059,2.56410540271551e-06,1.90398568614578e-05,4.57706761100519,"unchanged"
"O95263",-0.952884254601337,7.6995283689813,-5.16922624647553,5.77325463821851e-06,3.75909746241488e-05,3.79693348698004,"unchanged"
"P61927",0.95274449964746,6.64582963463592,5.41689374627539,2.54270386722208e-06,1.89565129796866e-05,4.58513039629926,"unchanged"
"P11802",0.952731011777361,9.22902197990368,5.93214396322109,4.5522785633311e-07,5.16974820135995e-06,6.2419808001345,"unchanged"
"O95466",0.952648409133964,9.1315179154315,5.08859593694078,7.52945866511407e-06,4.70537075630943e-05,3.5419485572746,"unchanged"
"Q96EX3",0.95260408803476,6.63812681826122,4.53365916728817,4.56901085081434e-05,0.000251555856906544,1.81601527305147,"unchanged"
"Q9NZ43",-0.952600216159345,9.16928990995649,-6.00661527943914,3.5467786037402e-07,4.33944121996287e-06,6.48265173021313,"unchanged"
"P49419",-0.952361022550079,11.6664841766977,-5.52373173883701,1.78219937344556e-06,1.41453944795647e-05,4.9270976792055,"unchanged"
"Q8NBJ4",-0.952205650650228,11.184765825947,-5.92962572915159,4.590849086599e-07,5.20675309052473e-06,6.23384607542832,"unchanged"
"Q9Y4I1",-0.952040994489132,7.18400659091265,-5.56921405919549,1.5315927676603e-06,1.25455042239896e-05,5.07297780267428,"unchanged"
"Q92934",-0.951998400801932,9.75818084504388,-5.55211490735876,1.62141022199963e-06,1.30719624848701e-05,5.01811422450288,"unchanged"
"Q5BJH7",0.951998196552657,5.75787908362487,4.87076311161203,1.53672977434069e-05,9.05691890717455e-05,2.85787371470708,"unchanged"
"P15882",-0.95199679830164,7.99996584168819,-5.50924501208639,1.87027555911453e-06,1.46969531063571e-05,4.88066893548438,"unchanged"
"P12277",-0.951689969438467,14.7685745677866,-5.31471768690751,3.56880362251889e-06,2.49357612146922e-05,4.25912239478555,"unchanged"
"P11177",0.951620192614014,12.3792058685386,5.63790169219483,1.21798663851973e-06,1.0532073328512e-05,5.29359193286327,"unchanged"
"Q6XUX3",0.951485151825091,5.94002701882594,5.26353792515011,4.22778356336207e-06,2.87099837764923e-05,4.09625021752069,"unchanged"
"P04843",0.95092324707413,12.9320174451666,6.08758440510497,2.70345378791179e-07,3.64064937584745e-06,6.74451714101474,"unchanged"
"P22314",0.950889832659717,13.0257391032764,6.36618502331811,1.06160101907229e-07,2.01935840150691e-06,7.64641316146146,"unchanged"
"O75348",-0.950869241614711,12.3313298638197,-5.45457750798247,2.24336817818899e-06,1.70884936795675e-05,4.70562966642103,"unchanged"
